Start Date,End Date,Program Title,Faculty Director,Term,Number of Participants,Country,Countries Visited,Photos
1989/06,1989/08,International Relations Seminar In Geneva,Hartley Clark,Summer,25,Switzerland,Switzerland
1989/08,1989/11,Marine Biology Seminar In Australia,Gary Wagenbach,Fall,25,Australia,Australia
1990/03,1990/06,Political Economy Seminar In Beijing,Roy Grow & Penelope Prime,Spring,40,China,China
1990/1,1990/03,Spanish Seminar In Morelia,Becky Boling,Winter,9,Mexico,Mexico
1991/1,1991/03,Archeology & Anthropology In Nepal,James F. Fisher & Nancy Wilkie,Winter,13,Nepal,Nepal
1990/08,1990/11,Art History In Amsterdam,Alison Kettering,Fall,21,The Netherlands,The Netherlands
1990/06,1990/08,Economics Seminar In Cambridge,Robert Will,Summer,22,UK,UK
1991/1,1991/03,English Seminar In London,Keith Harrison,Winter,25,UK,UK
1991/03,1991/06,French Language In Pau I,Scott Carpenter,Spring,23,France,France
1991/03,1991/06,French Seminar In Paris,Geneviève Soulas-Link & Carl Weiner,Spring,22,France,France
1990/08,1990/11,German Seminar In Berlin,Sigrun Leonhard,Fall,16,Germany,Germany
1991/1,1991/03,"Political Science Seminar In Washington, D.C.",Steven Schier,Winter,21,USA,USA
1991/1,1991/03,Spanish Seminar In Morelia,Diane Pearsall,Winter,11,Mexico,Mexico
1992/03,1992/06,Advanced French Seminar In Paris,Dana Strand & Steve Strand,Spring,18,France,France
1991/08,1991/11,Biology And Geology Seminar In Australia,Gary Wagenbach & Shelby Boardman,Fall,45,Australia,Australia
1991/06,1991/08,Economics Seminar In Cambridge,George Lamson,Summer,22,UK,UK
1992/1,1992/03,English Seminar In London,Vern Bailey,Winter,26,UK,UK
1992/03,1992/06,French Language In Pau I,Scott Carpenter,Spring,22,France,France
1991/08,1991/11,German Seminar In Munich,Julie Klassen,Fall,18,Germany,Germany
1991/06,1991/08,International Relations Seminar In Geneva,Hartley Clark & Gary Wynia,Summer,40,Switzerland,Switzerland
1992/03,1992/06,Political Economy Seminar In Beijing,Roy Grow,Spring,37,China,China
1992/1,1992/03,Spanish Seminar In Morelia,Humberto Huergo,Winter,18,Mexico,Mexico
1992/08,1992/11,Art History In Greece,Dale Haworth,Fall,18,Greece,Greece
1992/06,1992/08,Economics Seminar In Cambridge,Martha Paas,Summer,21,UK,UK
1992/06,1992/08,English Seminar In Dublin,James McDonnell,Summer,22,Ireland,Ireland
1992/08,1992/11,English Seminar In London,George Soule,Fall,19,UK,UK
1993/03,1993/06,French Language In Pau I,Éva Pósfay,Spring,20,France,France
1993/03,1993/06,French Seminar In Paris,Geneviève Soulas-Link,Spring,16,France,France
1992/08,1992/11,German Seminar In Nuremberg,Roger Paas,Fall,17,Germany,Germany
1993/1,1993/03,"Political Science Seminar In Washington, D.C.",Steven Schier,Winter,20,USA,USA
1993/1,1993/03,Spanish Seminar In Morelia,Humberto Huergo,Winter,17,Mexico,Mexico
1992/11,1993/12,Tropical Field Ecology In Costa Rica,Mark McKone,Winter Break,NDA,Costa Rica,Costa Rica
1993/06,1993/08,Economics Seminar In Cambridge,Mike Hemesath,Summer,23,UK,UK
1994/1,1994/03,English & Psychology Seminar In London,Constance Walker & Neil Lutsky,Winter,33,UK,UK
1994/03,1994/06,French Language In Pau I,Éva Pósfay,Spring,18,France,France
1994/03,1994/06,French Seminar In Paris,Chérif Keïta,Spring,23,France,France
1993/08,1993/11,Geology Seminar In Italy,David Bice,Fall,23,Italy,Italy
1993/08,1993/11,"German Seminar In Graz, Austria",Anne Uimer,Fall,17,Austria,Austria
1994/1,1994/03,Marine Biology Seminar In Australia & New Zealand,Gary Wagenbach,Winter,25,Australia,"Australia, New Zealand"
1993/06,1993/08,Political Science Seminar In Maastricht,Gary Wynia,Summer,22,The Netherlands,The Netherlands
1994/1,1994/03,Spanish Seminar In Morelia,Diane Pearsall,Winter,21,Mexico,Mexico
1995/1,1995/03,American Studies Seminar In California,Mike Kowalewski,Winter,24,USA,USA
1994/06,1994/08,Economics Seminar In Cambridge,Mark Kanazawa,Summer,21,UK,UK
1994/08,1994/11,English Seminar In London,Ruth Weiner,Fall,18,UK,UK
1995/03,1995/06,French Language In Pau I,Marie-Christine Massé,Spring,17,France,France
1995/03,1995/06,French Seminar In Paris,Carl Weiner,Spring,22,France,France
1994/08,1994/11,German In Seminar In Bonn,Sigrun Leonhard,Fall,12,Germany,Germany
1995/03,1995/06,Political Economy Seminar In Beijing,Roy Grow,Spring,33,China,China
1995/1,1995/03,"Political Science Seminar In Washington, D.C.",Steven Schier,Winter,20,USA,USA
1995/03,1995/06,Russian Seminar In Moscow,Diane Nemec Ignashev,Spring,23,Russia,Russia
1995/1,1995/03,Spanish Seminar In Morelia,Becky Boling,Winter,20,Mexico,Mexico
1994/11,1995/12,Tropical Field Ecology In Costa Rica,Mark McKone,Winter Break,NDA,Costa Rica,Costa Rica
1996/1,1996/03,Art And Biology Seminar In Australia & New Zealand,Fred Hagstrom & Gary Wagenbach,Winter,49,Australia,"Australia, New Zealand"
1995/06,1995/08,Economics Seminar In Cambridge,H. Scott Bierman,Summer,21,UK,UK
1996/03,1996/06,English Seminar In London,Tim Raylor,Spring,23,UK,UK
1996/03,1996/06,French Language In Pau I,Debra Latimer-Smith,Spring,17,France,France
1996/03,1996/06,French Seminar In Paris,Scott Carpenter,Spring,25,France,France
1995/08,1995/11,Geology Seminar In Italy,David Bice,Fall,24,Italy,Italy
1995/08,1995/11,German Seminar In Munich,Julie Klassen,Fall,16,Germany,Germany
1996/03,1996/06,Political Science Seminar In Maastricht,Norman Vig,Spring,17,The Netherlands,The Netherlands
1996/1,1996/03,Spanish Seminar In Morelia,Humberto Huergo,Winter,15,Mexico,Mexico
1996/08,1996/11,Art History In Amsterdam,Alison Kettering,Fall,19,The Netherlands,The Netherlands
1996/06,1996/08,Economics Seminar In Cambridge,Martha Paas,Summer,22,UK,UK
1996/06,1996/08,English Seminar In Ireland,James McDonnell,Summer,25,Ireland,Ireland
1997/03,1997/06,English Seminar In London,Tim Raylor,Spring,23,UK,UK
1997/03,1997/06,French Language In Pau I,Chérif Keïta,Spring,17,France,France
1997/1,1997/03,French Seminar In Paris,Marie-Christine Massé,Winter,19,France,France
1996/08,1996/11,German Seminar In Nuremberg,Roger Paas,Fall,15,Germany,Germany
1997/03,1997/06,Political Economy Seminar In Beijing,Roy Grow,Spring,34,China,China
1997/03,1997/06,Russian Seminar In Moscow,Anna Dotlibova,Spring,13,Russia,Russia
1997/1,1997/03,Spanish Seminar In Morelia,Diane Pearsall,Winter,19,Mexico,Mexico
1996/11,1997/12,Tropical Field Ecology In Costa Rica,Mark McKone,Winter Break,NDA,Costa Rica,Costa Rica
1998/1,1998/03,American Studies Seminar In California,Mike Kowalewski,Winter,25,USA,USA
1997/06,1997/08,Economics Seminar In Cambridge,George Lamson,Summer,21,UK,UK
1998/03,1998/06,English Seminar In London,Frank Morral,Spring,21,UK,UK
1998/03,1998/06,French Language In Pau I,Éva Pósfay,Spring,15,France,France
1998/03,1998/06,French Seminar In Paris,Cathy Yandell,Spring,23,France,France
1997/08,1997/11,Geology Seminar In Italy,David Bice,Fall,25,Italy,Italy
1997/08,1997/11,"German Seminar In Graz, Austria",Anne Ulmer,Fall,17,Austria,Austria
1998/1,1998/03,Marine Biology Seminar In Australia & New Zealand,Gary  Wagenbach,Winter,25,Australia,"Australia, New Zealand"
1997/08,1997/11,"Political Science Seminar In Washington, D.C.",Steven Schier,Fall,20,USA,USA
1998/1,1998/03,Spanish Seminar In Morelia,Humberto Huergo,Winter,13,Mexico,Mexico
1998/06,1998/08,Economics Seminar In Cambridge,Mark Kanazawa,Summer,24,UK,UK
1998/08,1998/11,English Seminar In London,Susan Jaret McKinstry,Fall,24,UK,UK
1999/03,1999/06,French Language In Pau I,Christine Lac,Spring,23,France,France
1999/03,1999/06,French Seminar In Paris,Scott Carpenter,Spring,22,France,France
1998/08,1998/11,German Seminar In Berlin,Sigrun Leonhard,Fall,25,Germany,Germany
1999/03,1999/06,Political Science Seminar In Maastricht,Norman Vig,Spring,20,The Netherlands,The Netherlands
1999/03,1999/06,Russian Seminar In Moscow,Diane Nemec-Ignashev,Spring,23,Russia,Russia
1999/1,1999/03,Spanish Seminar In Morelia,Diane Pearsall,Winter,18,Mexico,Mexico
1999/1,1999/03,Studio Art Seminar In Australia/new Zealan,Fred Hagstrom,Winter,25,"Australia, New Zealand","Australia, New Zealand"
1998/11,1999/12,Tropical Field Ecology In Costa Rica,Mark McKone,Winter Break,NDA,Costa Rica,Costa Rica
1999/11,2000/12,Art History In Amsterdam,Alison Kettering,Winter Break,12,The Netherlands,The Netherlands
1999/06,1999/08,Economics Seminar In Cambridge,Michael Hemesath,Summer,24,UK,UK
2000/03,2000/06,English & Psychology Seminar In London,Constance Walker & Neil Lutsky,Spring,31,UK,UK
